Measure	Value	SampleID	Group
Shannon	3.38	T05M17	T05M
Shannon	2.938	T05M18	T05M
Shannon	2.832	T05M19	T05M
Shannon	3.219	T05M20	T05M
Shannon	4.44	T12C01	T12C
Shannon	4.369	T12C02	T12C
Shannon	4.771	T12C03	T12C
Shannon	4.71	T12C04	T12C
Shannon	5.051	T12C05	T12C
Shannon	4.869	T12C06	T12C
Shannon	4.838	T12C07	T12C
Shannon	4.913	T12C08	T12C
Shannon	4.519	T12C09	T12C
Shannon	4.154	T12C10	T12C
Shannon	4.57	T12C11	T12C
Shannon	4.773	T12C12	T12C
Shannon	4.493	T12C13	T12C
Shannon	4.769	T12C14	T12C
Shannon	4.713	T12C15	T12C
Shannon	4.853	T12C16	T12C
Shannon	2.936	T12C17	T12C
Shannon	4.874	T12C18	T12C
Shannon	4.752	T12C19	T12C
Shannon	4.144	T12C20	T12C
Shannon	3.92	T12M01	T12M
Shannon	3.892	T12M02	T12M
Shannon	3.398	T12M03	T12M
Shannon	2.307	T12M04	T12M
Shannon	3.506	T12M05	T12M
Shannon	3.29	T12M06	T12M
Shannon	3.092	T12M07	T12M
Shannon	2.976	T12M08	T12M
Shannon	3.523	T12M09	T12M
Shannon	3.886	T12M10	T12M
Shannon	3.137	T12M11	T12M
Shannon	3.17	T12M12	T12M
Shannon	3.176	T12M13	T12M
Shannon	3.431	T12M14	T12M
Shannon	3.72	T12M15	T12M
Shannon	3.306	T12M16	T12M
Shannon	3.709	T12M17	T12M
Shannon	3.485	T12M18	T12M
Shannon	4.155	T12M19	T12M
Shannon	4.006	T12M20	T12M
Shannon	4.692	T21C01	T21C
Shannon	4.828	T21C02	T21C
Shannon	4.479	T21C03	T21C
Shannon	4.503	T21C04	T21C
Shannon	4.637	T21C05	T21C
Shannon	4.299	T21C06	T21C
Shannon	4.577	T21C07	T21C
Shannon	4.592	T21C08	T21C
Shannon	4.737	T21C09	T21C
Shannon	4.627	T21C10	T21C
Shannon	4.456	T21C11	T21C
Shannon	4.717	T21C12	T21C
Shannon	3.154	T21C13	T21C
Shannon	4.923	T21C14	T21C
Shannon	4.498	T21C15	T21C
Shannon	4.032	T21C16	T21C
Shannon	4.508	T21C17	T21C
Shannon	3.607	T21C18	T21C
Shannon	4.139	T21C19	T21C
Shannon	4.001	T21C20	T21C
Shannon	4.016	T21M01	T21M
Shannon	3.424	T21M02	T21M
Shannon	3.631	T21M03	T21M
Shannon	3.321	T21M04	T21M
Shannon	4.527	T21M05	T21M
Shannon	2.981	T21M06	T21M
Shannon	3.785	T21M07	T21M
Shannon	3.951	T21M08	T21M
Shannon	3.772	T21M09	T21M
Shannon	4.441	T21M10	T21M
Shannon	4.683	T21M11	T21M
Shannon	3.835	T21M12	T21M
Shannon	3.809	T21M13	T21M
Shannon	4.016	T21M14	T21M
Shannon	4.619	T21M15	T21M
Shannon	3.86	T21M16	T21M
Shannon	3.726	T21M17	T21M
Shannon	3.959	T21M18	T21M
Shannon	3.912	T21M19	T21M
Shannon	3.79	T21M20	T21M
Shannon	4.57	T30C01	T30C
Shannon	4.469	T30C02	T30C
Shannon	4.229	T30C03	T30C
Shannon	4.611	T30C04	T30C
Shannon	3.895	T30C05	T30C
Shannon	4.186	T30C06	T30C
Shannon	4.739	T30C07	T30C
Shannon	4.669	T30C08	T30C
Shannon	4.221	T30C09	T30C
Shannon	4.183	T30C10	T30C
Shannon	4.371	T30C11	T30C
Shannon	4.424	T30C12	T30C
Shannon	4.215	T30C13	T30C
Shannon	4.386	T30C14	T30C
Shannon	4.182	T30C15	T30C
Shannon	4.057	T30C16	T30C
Shannon	4.695	T30C17	T30C
Shannon	4.158	T30C18	T30C
Shannon	4.845	T30C19	T30C
Shannon	4.549	T30C20	T30C
Shannon	3.151	T30M01	T30M
Shannon	3.662	T30M02	T30M
Shannon	4.205	T30M03	T30M
Shannon	3.195	T30M04	T30M
Shannon	3.952	T30M05	T30M
Shannon	4.22	T30M06	T30M
Shannon	3.42	T30M07	T30M
Shannon	3.484	T30M08	T30M
Shannon	3.638	T30M09	T30M
Shannon	3.83	T30M10	T30M
Shannon	4.647	T30M11	T30M
Shannon	3.403	T30M12	T30M
Shannon	3.402	T30M13	T30M
Shannon	3.354	T30M14	T30M
Shannon	3.63	T30M15	T30M
Shannon	3.767	T30M16	T30M
Shannon	3.691	T30M17	T30M
Shannon	3.146	T30M18	T30M
Shannon	4.469	T30M19	T30M
Shannon	3.747	T30M20	T30M
Simpson	0.887	T00C01	T00C
Simpson	0.97	T00C02	T00C
Simpson	0.871	T00C03	T00C
Simpson	0.96	T00C04	T00C
Simpson	0.974	T00C05	T00C
