Modu1	Modu2	Both	M1nodes	M2nodes	Pvalues	DF1vsDF2
M4	M3	3	59	68	0.999998781263483	D05C_D30C
M4	M4	0	59	6	1	D05C_D30C
M4	M1	2	59	16	0.899834095699216	D05C_D30C
M4	M2	3	59	10	0.375864830497143	D05C_D30C
M2	M5	0	61	64	1	D05C_D30C
M2	M3	32	61	68	1.04829059454481e-07	D05C_D30C
M2	M4	1	61	6	0.786986408105168	D05C_D30C
M2	M1	0	61	16	1	D05C_D30C
M2	M2	1	61	10	0.925702515982941	D05C_D30C
M1	M5	10	42	64	0.556208762991783	D05C_D30C
M1	M3	5	42	68	0.993558407164107	D05C_D30C
M1	M4	1	42	6	0.639651984167835	D05C_D30C
M1	M1	0	42	16	1	D05C_D30C
M1	M2	0	42	10	1	D05C_D30C
M3	M5	0	13	64	1	D05C_D30C
M3	M3	2	13	68	0.880935064558991	D05C_D30C
M3	M4	0	13	6	1	D05C_D30C
M3	M1	0	13	16	1	D05C_D30C
M3	M2	0	13	10	1	D05C_D30C
M5	M1	0	8	33	1	D05M_D12M
M5	M3	0	8	64	1	D05M_D12M
M5	M2	0	8	44	1	D05M_D12M
M5	M7	6	8	16	1.10555790441572e-06	D05M_D12M
M5	M4	0	8	19	1	D05M_D12M
M5	M5	0	8	10	1	D05M_D12M
M5	M6	0	8	6	1	D05M_D12M
M3	M1	1	15	33	0.910635785075417	D05M_D12M
M3	M3	4	15	64	0.646629537066315	D05M_D12M
M3	M2	1	15	44	0.963665471701918	D05M_D12M
M3	M7	0	15	16	1	D05M_D12M
M3	M4	1	15	19	0.738841583136598	D05M_D12M
M3	M5	0	15	10	1	D05M_D12M
M3	M6	0	15	6	1	D05M_D12M
M1	M1	6	38	33	0.478763377421398	D05M_D12M
M1	M3	7	38	64	0.95289331598832	D05M_D12M
M1	M2	16	38	44	0.000277878193185668	D05M_D12M
M1	M7	1	38	16	0.95085164708446	D05M_D12M
M1	M4	2	38	19	0.859420698616678	D05M_D12M
M1	M5	0	38	10	1	D05M_D12M
M1	M6	0	38	6	1	D05M_D12M
M2	M1	5	41	33	0.74836672383385	D05M_D12M
M2	M3	10	41	64	0.77142209441645	D05M_D12M
