OTUID	Kingdom	Phylum	Class	Order	Family	Genus
OTU1337	d_Bacteria	p_Actinobacteriota	c_Actinobacteria	o_Propionibacteriales	f_Nocardioidaceae	g_Marmoricola
OTU1345	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Vibrionales	f_Vibrionaceae	g_Photobacterium
OTU1356	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_unclassified_c_Gammaproteobacteria	f_unclassified_c_Gammaproteobacteria	g_unclassified_c_Gammaproteobacteria
OTU1357	d_Bacteria	p_Desulfobacterota	c_Syntrophobacteria	o_Syntrophobacterales	f_norank_o_Syntrophobacterales	g_norank_f_norank_o_Syntrophobacterales
OTU1365	d_Bacteria	p_Myxococcota	c_Polyangia	o_Polyangiales	f_Sandaracinaceae	g_norank_f_Sandaracinaceae
OTU1372	d_Bacteria	p_Patescibacteria	c_ABY1	o_Candidatus_Falkowbacteria	f_norank_o_Candidatus_Falkowbacteria	g_norank_f_norank_o_Candidatus_Falkowbacteria
OTU1376	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_Rubritaleaceae	g_Roseibacillus
OTU1380	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Thiotrichales	f_Thiotrichaceae	g_Cocleimonas
OTU1382	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Alteromonadales	f_Shewanellaceae	g_Ferrimonas
OTU1383	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Oceanospirillales	f_Pseudohongiellaceae	g_Pseudohongiella
OTU1385	d_Bacteria	p_Planctomycetota	c_unclassified_p_Planctomycetota	o_unclassified_p_Planctomycetota	f_unclassified_p_Planctomycetota	g_unclassified_p_Planctomycetota
OTU1388	d_Bacteria	p_Acidobacteriota	c_Subgroup_22	o_norank_c_Subgroup_22	f_norank_o_norank_c_Subgroup_22	g_norank_f_norank_o_norank_c_Subgroup_22
OTU1392	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Vibrionales	f_Vibrionaceae	g_Photobacterium
OTU1393	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1396	d_Bacteria	p_Bacteroidota	c_Ignavibacteria	o_Ignavibacteriales	f_Melioribacteraceae	g_IheB3-7
